DEP_TIME_BLK,count,median,mean
2100-2159,71970,0.0,18.742699
1900-1959,123061,0.0,18.706966
1800-1859,149454,0.0,17.662477
2200-2259,45586,0.0,17.558153
2000-2059,103249,0.0,17.507357
1700-1759,154445,0.0,16.90104
1600-1659,145915,0.0,16.384792
1500-1559,146043,0.0,16.113829
1400-1459,149544,0.0,15.332551
1300-1359,149459,0.0,15.152496
2300-2359,17326,0.0,15.006579
1200-1259,151511,0.0,14.359432
0001-0559,59869,0.0,14.290284
1100-1159,159021,0.0,13.156936
1000-1059,159234,0.0,12.8321085
0700-0759,165960,0.0,11.872819
0900-0959,144503,0.0,11.695418
0600-0659,169522,0.0,11.638938
0800-0859,169897,0.0,11.53872
